artist,title,lyrics
Frank Sinatra,You Make Me Feel So Young,"You make me feel so young
You make me feel so spring has sprung
And every time I see you grin
I'm such a happy individual
The moment that you speak
I wanna go play hide-and-seek
I wanna go and bounce the moon
Just like a toy balloon
You and I are just like a couple of tots
Running across the meadow
Picking up lots of forget-me-nots
You make me feel so young
You make me feel there are songs to be sung
Bells to be rung
And a wonderful fling to be flung
And even when I'm old and gray
I'm gonna feel the way I do today
'Cause you make me feel so young
You make me feel so young
You make me feel so spring has sprung
And every time I see you grin
I'm such a happy individual
The moment that you speak
I wanna go and play hide-and-seek
I wanna go and bounce the moon
Just like a toy balloon
You and I are just like a couple of tots
Running across the meadow
Picking up lots of forget-me-nots
You make me feel so young
You make me feel there are songs to be sung
Bells to be rung
Wonderful fling to be flung
And even when I'm old and gray
I'm gonna feel the way I do today
'Cause you, you make me feel so young
You make me feel so young
You make me feel so young
Ooh, you make me feel so young"
Frank Sinatra,Jingle Bells,"I love those J-I-N-G-L-E bells
Oh, those holiday J-I-N-G-L-E bells
Oh, those happy J-I-N-G-L-E
B-E-double-L S
I love those J-I-N-G-L-E bells
Jingle bells, jingle bells
Jingle all the way
Oh, what fun it is to ride
In a one horse open sleigh
Jingle bells, jingle bells
Jingle all the way
Oh, what fun it is to ride
In a one horse open sleigh
Dashing through the snow (Rudolph)
In a one horse open sleigh (Today)
O'er the fields we go (Rudolph)
Laughing all the way (Today)
Bells on bob-tail ring
Makin' our spirits bright
What fun it is to ride and sing
A sleighin' song tonight
Ho, ho, ho
Ho, ho, ho
Ho, ho, ho, ho, ho
Ho, ho, ho, ho, ho, ho, ho
Ho, ho, ho, ho, ho, ho!
Jingle bells, jing-jingle bells
Jingle all the way
Oh, what fun it is to ride
In a one horse open sleigh
I love those J-I-N-G-L-E bells
Oh, those holiday J-I-N-G-L-E bells
Oh, those happy J-I-N-G-L-E
B-E-double-L S
I love those jingle bells all the way! (Jingle all the way!)"
Frank Sinatra,It Had to Be You,"Why do I do just as you say?
Why must I just give you your way?
Why do I sigh?
Why don't I try to forget?
It must have been that something lovers call fate
Kept me saying, ""I had to wait""
I saw them all
Just couldn't fall 'til we met
It had to be you
It had to be you
I wandered around and I finally found
The somebody who
Could make me be true
And could make me be blue
And even be glad just to be sad thinking of you
Some others I've seen
Might never be mean
Might never be cross or try to be boss
But they wouldn't do
For nobody else gave me a thrill
With all your faults, I love you still
It had to be you, wonderful you
It had to be you
For nobody else gave me a thrill
With all your faults, I love you still
It had to be you, wonderful you
It had to be you"
Frank Sinatra,Quiet Nights of Quiet Stars (Corcovado),"Quiet chords from my guitar
Floating on the silence that surrounds us
Quiet thoughts and quiet dreams
Quiet walks by quiet streams
And a window looking on the mountains and the sea
How lovely
This is where I want to be
Here with you so close to me
Until the final flicker of life's ember
I, who was lost and lonely
Believing life was only
A bitter tragic joke, have found with you
The meaning of existence, my love
I who was lost and lonely
Believing life was only
A bitter tragic joke, have found with you
The meaning of existence, my love"
Frank Sinatra,In the Wee Small Hours of the Morning,"In the wee small hours of the morning
While the whole wide world is fast asleep
You lie awake and think about the girl
And never, ever think of counting sheep
When your lonely heart has learned its lesson
You'd be hers if only she would call
In the wee small hours of the morning
That's the time you miss her most of all
When your lonely heart has learned its lesson
You'd be hers if only she would call
In the wee small hours of the morning
That's the time you miss her most of all"
Frank Sinatra,Summer Wind,"The summer wind, came blowin' in from across the sea
It lingered there, to touch your hair and walk with me
All summer long, we sang a song
And then we strolled that golden sand
Two sweethearts, and the summer wind
Like painted kites, those days and nights they went flyin' by
The world was new, beneath a blue umbrella sky
Then softer than, a piper man, one day it called to you
I lost you, I lost you to the summer wind
The autumn wind, and the winter winds
They have come and gone
And still the days, those lonely days they go on and on
And guess who sighs his lullabies
Through nights that never end
My fickle friend, the summer wind
The summer wind
Warm summer wind
The summer wind"
Frank Sinatra,All the Way,"When somebody loves you
It's no good unless he loves you
All the way
Happy to be near you
When you need someone to cheer you
All the way
Taller than the tallest tree is
That's how it's got to feel
Deeper than the deep blue sea is
That's how deep it goes if it's real
When somebody needs you
It's no good unless he needs you
All the way
Through the good or lean years
And for all the in-between years
Come what may
Who knows where the road will lead us
Only a fool would say
But if you let me love you
It's for sure I'm gonna love you
All the way
All the way
So if you let me love you
It's for sure I'm gonna love you
All the way
All the way"
Frank Sinatra,Witchcraft,"Those fingers in my hair
That sly come-hither stare
That strips my conscience bare
It's witchcraft
And I've got no defense for it
The heat is too intense for it
What good would common sense for it do?
'Cause it's witchcraft, wicked witchcraft
And although I know it's strictly taboo
When you arouse the need in me
My heart says ""Yes, indeed"" in me
""Proceed with what you're leadin' me to""
It's such an ancient pitch
But one I wouldn't switch
'Cause there's no nicer witch than you
'Cause it's witchcraft, that crazy witchcraft
And although I know it's strictly taboo
When you arouse the need in me
My heart says ""Yes, indeed"" in me
""Proceed with what you're leadin' me to""
It's such an ancient pitch
But one that I'd never switch
'Cause there's no nicer witch than you"
Frank Sinatra,The World We Knew (Over and Over),"Over and over I keep going over the world we knew
Once when you walked beside me
That inconceivable, that unbelievable world we knew
When we two were in love
And every bright neon sign turned into stars
And the sun and the moon seemed to be ours
Each road that we took turned into gold
But the dream was too much for you to hold
Now over and over I keep going over the world we knew
Days when you used to love me
And every bright neon sign turned into stars
And the sun and the moon seemed to be ours
Each road that we took, it turned into gold
But the dream was too much for you to hold
Now over and over I keep going over the world we knew
Days when you used to love me
Over and over I keep going over the world we knew"
Frank Sinatra,All of Me,"All of me
Why not take all of me
Can't you see
I'm no good without you
Take my lips
I wanna lose them
Take my arms
I'll never use them
Your goodbye left me with eyes that cry
How can I get on without you
You took the part that once was my heart
So why not take all of me
All of me
Come on get all of me
Can't you see
I'm just a mess without you
Take my lips
I wanna lose them
Get a piece of these arms
I'll never use them
Your goodbye left me with eyes that cry
How can I ever make it without you
You know you got the part
Used to be my heart
So why not, why not take all of me"
